artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,526,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,0,0.01,0.64207911491394,0,135,0,100,0.5,732,0.1,1,0.223601312524404,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,26,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.954736948013306,0,135,0,100,0.5,733,0.1,1,0.212586304176788,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,27,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.08680868148804,0,135,0,100,0.5,734,0.1,1,0.199853019649599,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,28,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.15925621986389,0,135,0,100,0.5,735,0.1,1,0.191722053023545,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,29,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,4.7022123336792,0,135,0,100,0.5,736,0.1,1,0.18499576615058,increase,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,30,image,0.6,0.4,0.1,ab,0,562.827514648438,556.422973632813
8,3.5,0,0.01,3.49618029594421,0,135,0,100,0.5,770,0.1,1,0.213588080012167,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,31,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.736759662628174,0,135,0,100,0.5,771,0.1,1,0.20180493503002,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,32,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.873434066772461,0,135,0,100,0.5,772,0.1,1,0.193358003168271,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,33,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.55434489250183,0,135,0,100,0.5,773,0.1,1,0.186914670276591,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,34,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.487663745880127,0,135,0,100,0.5,774,0.1,1,0.181583706304306,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,35,none,0.6,0.4,0.1,ab,0,,
